13 = "石勒苏益格"  # Szlezwik
282 = "杰蒂森"  # Jedysan
283 = "扎波罗热"  # Zaporoze
284 = "克里木"  # Krym
285 = "卡法"  # Kaffa
286 = "亚速"  # Azow
289 = "切尔尼科夫卡"  # Czernichów
290 = "波尔塔瓦"  # Poltawa
291 = "察尔卡夫"  # Charków
292 = "莫吉廖夫"  # Mohylew
294 = "特维尔"  # Twer
295 = "莫斯科"  # Moskwa
297 = "布良斯克"  # Briansk
299 = "沃罗涅日"  # Woronez
301 = "梁赞"  # Riazan
303 = "萨拉达"  # Saratów
302 = "坦波夫"  # Tambow
306 = "下诺夫哥罗德"  # Nizny Nowogród
307 = "沃齐米日"  # Wlodzimierz
308 = "雅罗斯瓦夫"  # Jaroslaw
309 = "奥洛涅茨"  # Oloniec
310 = "诺夫哥罗德"  # Nowogród
311 = "空姆"  # Cholm
312 = "比罗杰洛"  # Bieloziero
313 = "阿尔汉格尔斯克"  # Archangielsk
314 = "沃洛格达"  # Wologda
464 = "阿斯特拉罕"  # Astrachan
466 = "萨莱"  # Saraj
468 = "马尼奇"  # Manycz
475 = "巴什科尔托斯坦"  # Baszkortostan
767 = "什奇特诺"  # Szczytno
771 = "维捷布斯克"  # Witebsk
1079 = "维亚特卡"  # Wiatka
1081 = "辛比尔斯克"  # Symbirsk
1083 = "韦特卢加"  # Wietluga
1318 = "斯匹什"  # Spisz
1752 = "热夫"  # Rzew
1755 = "伍什丢克"  # Ustiug
1756 = "比萨拉比亚"  # Besarabia
1757 = "上普法尔茨"  # Gorny Palatynat
1758 = "汉诺威"  # Hanower
1759 = "普斯特平"  # Postapin
1760 = "科布伦茨"  # Koblencja
1761 = "普法尔茨"  # Palatynat
1763 = "卢萨西亚"  # Luzyce
1769 = "戈里齐亚"  # Gorycja
1771 = "乌鲁冈"  # Rudawy
1772 = "布拉迪斯拉发"  # Bratyslawa
1772 = "波索"  # Pozon
1775 = "石勒苏益格-荷尔斯泰因"  # Holsztyn
1778 = "卡西莫夫"  # Kasimow
1837 = "多帕特"  # Dorpat
1841 = "马尔堡"  # Malbork
1842 = "纳尔瓦"  # Narwa
1858 = "什切青"  # Szczecin
1863 = "格罗杰茨"  # Grodziec
1869 = "苏黎世"  # Zurych
1873 = "格劳宾登"  # Gryzonia
1874 = "不来梅"  # Brema
1878 = "亚琛"  # Akwizgran
1935 = "米塔瓦"  # Mitawa
1936 = "考纳斯"  # Kowno
1941 = "图罗夫"  # Turów
1942 = "日托米尔"  # Zytomierz
1943 = "布拉奇拉夫"  # Braclaw
1944 = "切尔卡瑟"  # Czerkasy
1945 = "什维姆什拉"  # Siewierszczyzna
1952 = "马拉穆列什"  # Marmarosz
1955 = "科摩罗古勒"  # Cholmogory
1957 = "加利奇"  # Galicz
1959 = "托尔若克"  # Torzok
1960 = "欧斯垂"  # Ostrów
1966 = "车里雅宾斯克"  # Czelabinsk
1971 = "察里津"  # Carycyn
1972 = "乌德穆尔特"  # Udmurcja
1974 = "赫尔松"  # Cherson
2405 = "特赫尼亚"  # Tehinia
2406 = "欧查克"  # Oczaków
2407 = "佩列亚斯拉夫"  # Perejaslaw
2408 = "利佩茨克"  # Lipieck
2409 = "巴赫姆特"  # Bachmut
2410 = "特奥多罗"  # Teodoro
2411 = "库达克"  # Kudak
2412 = "梅利托波尔"  # Melitopol
2414 = "季霍列茨克"  # Tichorieck
2415 = "霍皮奥尔"  # Chopior
2419 = "塞兹兰"  # Syzran
2420 = "阿吉代尔"  # Agidel
2421 = "切博克托普克"  # Czystopol
2422 = "切博克萨雷"  # Czeboksary
2424 = "莎姆什鲁"  # Przemysl
2427 = "别洛亚尔斯克"  # Bielojarskij
2444 = "兹拉托乌斯特"  # Zlatoust
2749 = "季赫温"  # Tichwin
2956 = "施特劳宾"  # Strubina
2957 = "雷根斯堡"  # Ratyzbona
2958 = "奥斯特鲁达"  # Ostróda
2959 = "塔恩利亚"  # Tarnów
2961 = "罗维姆"  # Lwów
2962 = "罗恩"  # Równe
2964 = "哈弗尔贝格"  # Hawolin
2965 = "普瓦夫诺"  # Plawno
2966 = "格罗尼亚"  # Glogów
2967 = "海布"  # Cheb
2968 = "捷克布杰约维采"  # Budziejowice
2969 = "鲁布什"  # Lubusz
2970 = "赫拉德茨"  # Hradec
2993 = "普泽斯洛"  # Przeslaw
2994 = "沃尔加斯特"  # Wologoszcz
2995 = "斯武普斯克"  # Slupsk
2996 = "维斯马"  # Wyszomierz
2997 = "图霍拉"  # Tuchola
4115 = "莫济里"  # Mozyrz
4117 = "别热茨克"  # Biezeck
4122 = "申库尔斯克"  # Szenkursk
4129 = "旧彼尔姆"  # Stary Perm
4236 = "特伦钦"  # Trenczyn
4237 = "奥洛穆茨"  # Olomuniec
4238 = "莱格尼察"  # Lignica
4241 = "基斯"  # Kies
4243 = "托罗佩茨"  # Toropiec
4244 = "特鲁布切夫斯克"  # Trubczewsk
4245 = "维亚济马"  # Wiazma
4246 = "姆斯齐斯拉夫"  # Mscislaw
