233 = "康努比亚"  # Cornubia
317 = "密西亚"  # Mysia
318 = "士麦拿"  # Smyrna
319 = "密拉萨"  # Mylasa
320 = "罗得岛"  # Rhodus
322 = "科堤埃翁"  # Cotyaeum
323 = "伊科尼翁"  # Iconium
324 = "吕卡俄尼亚"  # Lycaonia
325 = "帕夫拉戈尼亚"  # Paphlagonia
326 = "加拉提亚"  # Galatia
327 = "奇里乞亚"  # Cilicia
328 = "锡诺佩"  # Sinope
329 = "塞巴斯忒亚"  # Sebastea
330 = "特拉佩祖斯"  # Trapezus
332 = "革尔曼尼基亚"  # Germanicia
377 = "贝罗埃亚"  # Beroea
418 = "阿弥达"  # Amida
1846 = "阿马塞亚"  # Amasea
1848 = "卡里亚"  # Caria
2296 = "阿彼杜斯"  # Abydus
2297 = "吕底亚"  # Lydia
2298 = "阿塔勒亚"  # Attalea
2299 = "比提尼亚"  # Bithynia
2300 = "卡帕多基亚"  # Cappadocia
2301 = "凯撒利亚"  # Caesarea
2302 = "潘费利亚"  # Pamphylia
2303 = "墨利忒涅"  # Melitene
2304 = "卡尔狄亚"  # Chaldia
2305 = "阿喀利塞涅"  # Acilisene
2306 = "塔饶尼提斯"  # Taraunitis
2307 = "阿尔西萨"  # Arsissa
378 = "特里波利斯-黎巴尼提斯"  # Tripolis Libanitis
379 = "耶罗索利马"  # Hierosolyma
380 = "以土买"  # Idumea
381 = "珀赖亚"  # Peraea
405 = "巴尔米拉"  # Palmyra
406 = "杜拉欧罗普斯"  # Dura Europus
407 = "卡利尼孔"  # Callinicum
410 = "巴格达同"  # Bagdatum
412 = "苏西亚那"  # Susiana
1849 = "厄庇法尼亚"  # Epiphania
1854 = "佛拉维亚-尼亚波利斯"  # Flavia Neapolis
2309 = "辛加剌"  # Singara
2310 = "塔格里同"  # Tagritum
2314 = "基尔刻西翁"  # Circesium
356 = "贝雷尼刻"  # Berenice
357 = "达尼斯"  # Darnis
359 = "阿尔西诺厄"  # Arsinoë
360 = "马克西米安波利斯"  # Maximianopolis
361 = "开鲁斯"  # Cairus
363 = "塔米阿提斯"  # Tamiathis
1231 = "叙厄涅"  # Syene
2315 = "苏厄西亚"  # Suesia
2317 = "安提诺波利斯"  # Antinopolis
2319 = "吕科波利斯"  # Lycopolis
2320 = "波尔菲里忒斯山"  # Mons Porphirites
2321 = "勒乌科斯利门"  # Leucos Limen
2325 = "帕赖托尼翁"  # Paraetonium
2326 = "大佩特拉斯"  # Petras Maior
334 = "廷吉斯"  # Tingis
335 = "鲁萨狄尔"  # Rusadir
336 = "波马里亚"  # Pomaria
338 = "阿尔及利亚"  # Algeria
339 = "萨尔代"  # Saldae
340 = "基尔塔"  # Cirta
341 = "图涅斯"  # Tunes
342 = "拉巴同"  # Rabatum
343 = "斐扎"  # Fezza
351 = "威斯刻剌"  # Vescera
352 = "卡普萨"  # Capsa
353 = "塔卡佩"  # Tacape
354 = "特里波利斯"  # Tripolis
355 = "叙尔提斯"  # Syrtis
1751 = "塞普塔"  # Septa
1882 = "希波雷吉乌斯"  # Hippo Regius
2450 = "居达姆斯"  # Cydamus
2451 = "图巴克提斯"  # Thubactis
2453 = "泰奈"  # Thaenae
2454 = "西卡维涅里亚"  # Sicca Veneria
2455 = "希波-迪亚耳律图斯"  # Hippo Diarrhytus
2459 = "墨狄亚"  # Media
2461 = "穆鲁斯塔加"  # Murustaga
2473 = "哈德鲁墨同"  # Hadrumetum
2954 = "墨宁克斯"  # Meninx
87 = "加莱西翁"  # Calesium
90 = "佛兰德里亚"  # Flandria
91 = "汉诺尼亚"  # Hannonia
92 = "布拉班提亚"  # Brabantia
93 = "勒俄狄翁"  # Leodium
94 = "卢森堡"  # Luxemburgum
95 = "布雷达那"  # Bredana
96 = "泽兰狄亚"  # Zelandia
1742 = "林堡"  # Limburgum
1744 = "安特威尔庇亚"  # Antverpia
1865 = "甘达翁"  # Gandavum
1866 = "那穆尔孔"  # Namurcum
1878 = "阿奎斯格剌农"  # Aquisgranum
2974 = "玻尔克洛尼翁"  # Borchlonium
80 = "奥古斯塔-特雷维罗农"  # Augusta Treveronum
81 = "哈西亚"  # Hassia
82 = "威斯特法利亚"  # Vestphalia
83 = "纳索维亚"  # Nassovia
84 = "杜塞尔多尔庇翁"  # Dusseldorpium
85 = "科洛尼亚-阿格里皮娜"  # Colonia Agrippina
86 = "摩那斯忒里翁"  # Monasterium
1760 = "孔佛卢恩忒斯"  # Confluentes
2973 = "阿弥西亚"  # Amisia
2975 = "克利维亚"  # Clivia
64 = "兰狄斯胡塔"  # Landishuta
65 = "摩那孔"  # Monacum
68 = "卡西利亚孔"  # Cassiliacum
69 = "苏维汇"  # Suebia
70 = "维尔屯贝尔吉亚"  # Virtembergia
71 = "俄诺尔冬"  # Onoldum
72 = "布里斯戈维埃"  # Brisgoviae
73 = "提罗利斯"  # Tirolis
74 = "巴登尼亚"  # Badenia
75 = "阿尔萨提亚"  # Alsatia
76 = "萨利斯堡"  # Salisburgum
77 = "海得尔贝尔加"  # Heidelberga
78 = "摩贡提亚孔"  # Moguntiacum
79 = "赫尔比波利斯"  # Herbipolis
110 = "特里登同"  # Tridentum
128 = "卡林提亚"  # Carinthia
129 = "卡尔尼奥拉"  # Carniola
130 = "希斯特里亚"  # Histria
132 = "施蒂里亚"  # Styria
133 = "楞提亚"  # Lentia
134 = "文多波纳"  # Vindobona
165 = "贝尔那"  # Berna
166 = "苏伊提乌斯"  # Suitius
1761 = "帕拉提那图斯"  # Palatinatus
1768 = "卢恩齐那"  # Luenzina
1769 = "戈里提亚"  # Goritia
1863 = "格赖基亚"  # Graecia
1867 = "劳索尼翁"  # Lausonium
1868 = "奥古斯塔-温得利科戎"  # Augusta Vindelicorum
1869 = "图里孔"  # Turicum
1870 = "圣加隆"  # Sanctogallum
1871 = "瓦莱西亚"  # Valesia
1872 = "乌尔马"  # Ulma
1873 = "格里索尼亚"  # Grisonia
2955 = "英戈尔斯塔狄翁"  # Ingolstadium
135 = "斯卡尔班提亚"  # Scarbantia
153 = "佩斯提农"  # Pestinum
160 = "达契亚-马尔文西斯"  # Dacia Malvensis
161 = "塔尔戈维斯忒"  # Targoviste
1756 = "默西亚"  # Moesia
