197 = "罗塞永"  # Rosellón
860 = "杜兰戈"  # Durango
862 = "索诺拉"  # Sonora
863 = "北帕索"  # Paso del Norte
864 = "奇瓦瓦"  # Chihuahua
865 = "下加利福尼亚"  # Baja California
866 = "洛雷托"  # Loreto
1101 = "阿塞特"  # Aceite
2614 = "新莱昂"  # Nuevo Leon
2616 = "库库尔佩"  # Cucurpe
2618 = "圣巴巴拉"  # Santa Barbara
2619 = "萨尔蒂约"  # Saltillo
2620 = "恩塞纳达"  # Ensenada
2623 = "韦塔莫"  # Huetamo
2626 = "托卢卡"  # Toluca
2628 = "特佩阿卡"  # Tepeaca
2637 = "卡巴约斯港"  # Puerto Caballos
2640 = "特古西加尔巴"  # Tegucigalpa
2644 = "普埃布拉"  # Puebla
2647 = "韦拉克鲁斯"  # Veracruz
2658 = "阿苏阿"  # Azua
2659 = "普拉塔港"  # Puerto Plata
2662 = "科马亚瓜"  # Comayagua
2667 = "拉雷多"  # Laredo
2668 = "里奥布拉沃"  # Rio Bravo
868 = "洛杉矶"  # Los Angeles
869 = "蒙特雷"  # Monterrey
877 = "图森"  # Tucson
880 = "圣菲"  # Santa Fe
881 = "索科罗"  # Socorro
883 = "圣安东尼奥"  # San Antonio
884 = "拉巴亚"  # La Bahia
885 = "埃斯塔卡多平原"  # Llano Estacado
887 = "洛斯特哈斯"  # Los Tejas
888 = "加尔维斯顿"  # Galvezton
897 = "卡德龙"  # Cadron
900 = "圣路易斯"  # San Luis
902 = "密苏里"  # Misuri
918 = "巴兰卡斯"  # Barancas
926 = "玛亚卡"  # Mayaca
927 = "圣奥古斯丁"  # San Agustin
2021 = "圣弗朗西斯科"  # San Francisco
2476 = "圣迭戈"  # San Diego
2498 = "埃尔帕索"  # El Paso
2499 = "里奥格兰德"  # Rio Grande
2514 = "新马德里"  # Nuevo Madrid
2516 = "洛斯阿达埃斯"  # Los Adaes
2529 = "洛斯诺加莱斯"  # Los Nogales
2536 = "特赫斯塔"  # Tegesta
2542 = "圣埃莱娜"  # Santa Elena
2665 = "洛斯艾斯"  # Los Ais
2666 = "圣萨巴"  # San Saba
4351 = "内格罗斯"  # Negros
