graphical_culture = muslimgfx
color = {
  76
  141
  58
}
historical_idea_groups = {
  religious_ideas
  defensive_ideas
  trade_ideas
  offensive_ideas
  spy_ideas
  diplomatic_ideas
  quantity_ideas
  economic_ideas
}
historical_units = {
  mamluk_archer
  mamluk_cavalry_charge
  mamluk_duel
  mamluk_musket_charge
  muslim_mass_infantry
  muslim_dragoon
  ali_bey_reformed_infantry
}
monarch_names = {
  "阿诗玛 #0" = -1  # Asma #0
  "甘萨伍赫 #0" = 40  # Qânsawh #0
  "穆罕默德 #4" = 40  # Muhammad #4
}
leader_names = {
  "优素福"  # Youssef
  "塔利布"  # Taleb
  "易卜拉欣"  # Ibrahim
  "哈利勒"  # Khalil
  "萨利赫"  # Saleh
  "法哈特"  # Farhat
  "沙马斯"  # Chammas
  "曼苏尔"  # Mansour
  "阿拔斯"  # Abbas
  "哈穆德"  # Hammoud
  "阿里"  # Ali
  "埃巴克"  # Aybak
  "拜巴尔斯"  # Baibars
  "贝伊"  # Bay
  "贝伊"  # Bey
  "布哈"  # Bugha
  "伊纳勒"  # Inâl
  "坎苏尔"  # Kansur
  "赛福鼎"  # Sayfuddin
  "赞吉"  # Zangi
}
ship_names = {
  "汉志"  # Hijaz
  "吉达"  # Jeddah
  "麦加"  # Mecca
  "麦地那"  # Medina
  "杰贝勒 拜丹"  # Jabal Baydan
  "杰拜 沙瓦达"  # Jabal Sawda
  "亚巴尔 阿布 哈桑"  # Jabal Abu Hasan
  "杰贝勒 朱赖拉"  # Jabal al-Jurayrah
  "哈拉特 基什卜"  # Harrat Al-Kishb
  "拉哈特"  # Harrat Rahat
  "哈拉特·纳瓦西夫"  # Harrat Nawasif
  "哈拉特 哈丹"  # Harrat Hadan
  "哈拉特 布干"  # Harrat Al-Buqum
  "拉伯的哈拉特喀巴尔"  # Harrat Khaybar
  "哈拉特·库拉马"  # Harrat Kurama
  "哈拉特 乌那伊"  # Harrat al-Unayyir
  "宰希尔 巴尔库克"  # Zaher Barqooq
  "法拉格 本 巴尔库克"  # Farag Ben Barqooq
  "本 巴尔库克"  # Ben Barqooq
  "穆贾希德 谢赫"  # Muyaid Sheikh
  "阿曼 穆贾希德"  # Ahmen Muyaid
  "宰希尔 鞑靼"  # Zaher Tatar
  "纳赛尔 穆罕默德"  # Nasser Muhamed
  "阿什拉夫 巴尔斯拜"  # Ashraf Barsbay
  "阿齐兹 加马尔"  # Aziz Gamal
  "那赫 尼尔"  # Nahr an-Nil
  "法拉菲拉"  # Al-Farafirah
  "达希拉"  # Ad-Däkhilah
  "哈里贾"  # Al-Kharijah
  "阿里"  # Al-Ali
  "巴里亚"  # Al-Bahriyah
  "拉赫曼"  # Rahman
  "拉希姆"  # Rahim
  "马利克"  # Malik
  "库杜斯"  # Quddus
  "萨拉姆"  # Salam
  "慕敏"  # Mu'min
  "穆哈敏"  # Muhaymin
  "阿齐兹"  # Aziz
  "贾巴尔"  # Jabbar
  "穆塔卡比尔"  # Mutakabbir
  "哈利克"  # Khaliq
  "巴里"  # Bari
  "穆萨维尔"  # Musawwir
  "贾法尔"  # Ghaffar
  "加哈"  # Qahhar
  "瓦哈卜"  # Wahhab
  "拉扎克"  # Razzaq
  "法塔赫"  # Fattah
  "阿里姆"  # Alim
  "贾比得"  # Qabid
  "巴希特"  # Basit
  "哈菲德"  # Khafid
  "拉菲"  # Rafi
  "穆伊兹"  # Mu'izz
  "穆希尔"  # Mudhill
  "萨米"  # Sami
  "别瑟"  # Basir
  "哈卡姆"  # Hakam
  "阿德尔"  # Adl
}
army_names = {
  "杰希尔 $PROVINCE$"  # Jaish-al $PROVINCE$
}
fleet_names = {
  "伊斯塔瓦 $PROVINCE$"  # Istawal-al $PROVINCE$
}
