graphical_culture = westerngfx
color = {
  125
  171
  84
}
revolutionary_colors = {
  10
  0
  5
}
historical_idea_groups = {
  administrative_ideas
  defensive_ideas
  trade_ideas
  innovativeness_ideas
  maritime_ideas
  offensive_ideas
  economic_ideas
  quality_ideas
}
historical_units = {
  western_medieval_infantry
  western_medieval_knights
  western_men_at_arms
  italian_condotta
  austrian_tercio
  austrian_grenzer
  austrian_hussar
  austrian_white_coat
  austrian_jaeger
  mixed_order_infantry
  open_order_cavalry
  napoleonic_square
  napoleonic_lancers
}
monarch_names = {
  "科斯莫 #0" = 60  # Cosimo #0
  "卡斯塔尼亚"  # Castagna
  "卡斯塔尼亚罗"  # Castagnaro
  "迪 加富尔"  # di Cavour
  "基吉"  # Chigi
  "科隆纳"  # Colonna
  "孔塔里尼"  # Contarini
  "孔蒂"  # Conti
  "科尔西尼"  # Corsini
  "契波"  # Cybo
  "多里亚 迪 奇列"  # Doria di Cirié
  "多里亚 兰迪"  # Doria-Landi
  "多里亚 潘菲利"  # Doria-Pamphili
  "德 埃斯特"  # d'Este
  "迪 法尔内塞"  # di Farnese
  "迪 费拉里"  # di Ferrari
  "加埃塔尼 德阿奎拉"  # Gaetani dell'Aquila
  "伽利莱"  # Galilei
  "甘巴科尔塔"  # Gambacorta
  "真蒂莱斯基"  # Gentileschi
  "朱斯蒂尼亚尼"  # Giustiniani
  "冈萨加"  # Gonzaga
  "格里马尔迪"  # Grimaldi
  "卢多维西"  # Ludovisi
  "马拉斯皮纳"  # Malaspina
  "德 美第奇"  # de' Medici
  "梅尔齐"  # Melzi
  "蒙泰费尔特罗"  # Montefeltro
  "奥尔西尼"  # Orsini
  "迪 帕埃萨纳"  # di Paesana
  "帕莱奥洛吉 蒙费拉托"  # Paleologi Montferrato
  "帕拉维奇尼"  # Pallavicini
  "帕拉迪西"  # Paradisi
  "彼得鲁奇"  # Petrucci
  "毕戈"  # Pico
  "皮尼亚泰利"  # Pignatelli
  "达拉 罗萨"  # dalla Rosa
  "德拉 罗韦雷"  # della Rovere
  "迪 萨卢佐"  # di Saluzzo
  "迪 萨伏伊"  # di Savoia
  "斯封德拉蒂"  # Sfondrati
  "斯福尔扎"  # Sforza
  "斯皮诺拉"  # Spinola
  "德拉 托雷"  # della Torre
  "德拉 乌巴尔迪尼"  # della Ubaldini
  "维科"  # Vico
  "维斯孔蒂"  # Visconti
}
ship_names = {
  "丰饶富裕"  # Abbodanza e Ricchezza
  "宁静亚德里亚"  # Adria in Pace
  "亚马逊女战士"  # Amazzone Guerriera
  "安娜 玛利亚"  # Anna Maria
  "宝冠雄鹰"  # Aquila Incoronata
  "金色雄鹰"  # Aquila Reale
  "勇鹰"  # Aquila Valeria
  "飞鹰"  # Aquila Volante
  "诺亚方舟"  # Arca di Noè
  "莱赫之剑"  # Arma di Lech
  "拿骚之剑"  # Arma di Nassau
  "大鹳"  # Barza Grande
  "祝圣者玛格丽塔"  # Beata Margherita
  "美丽的热那亚人"  # Bella Genovese
  "良言"  # Buon Consiglio
  "鹅原"  # Campo d'Oche
  "巴尔巴里戈旗舰"  # Capitana Barbarigo
  "运河旗舰"  # Capitana Canale
  "海上旗舰"  # Capitana dei Mari
  "旗舰"  # Capitana di Sua Santità
  "明灯旗舰"  # Capitana Lanterna
  "规矩的卡利"  # Carli Regolati
  "洛林的卡洛公爵"  # Carlo Duca di Lorena
  "安杰洛骑士"  # Cavalier Angelo
  "坎地亚海马"  # Cavallo Marino di Candia
  "海马"  # Cavallo Marino
  "金鹿"  # Cervo d'Oro
  "威尼斯基督"  # Cristo di Venezia
  "众民之车舆"  # Cocha Granda di Comun
  "金鸽"  # Colomba d'Oro
  "热那亚商船"  # Commerce di Genova
  "金色王冠"  # Corona d'Or
  "威尼托小舟"  # Corriera Veneta
  "沉稳战士"  # Costanza Guerriera
  "坎地亚基督"  # Cristo di Candia
  "科孚基督"  # Cristo di Corfù
  "维利亚基督复活"  # Cristo Resuscitato di Veglia
  "威尼斯基督复活"  # Cristo Resuscitato di Venezia
  "基督复活"  # Cristo Risorto
  "金色十字"  # Croce d'Oro
  "红色十字"  # Croce Rossa
  "驭马女郎"  # Dama a Cavallo
  "大卫 歌利亚"  # David Golia
  "圣父与圣三一"  # Dio Padre e Santa Trinità
  "女士与战马"  # Donna con il Cavallo Armata
  "飞龙"  # Drago Volante
  "洛林公爵"  # Duca di Lorena
  "双海豚"  # Due Delfini
  "双狮"  # Due Leoni
  "双手"  # Due Mani
  "Elettore di Colonia"
  "大赫拉克勒斯"  # Ercole Grande
  "小赫拉克勒斯"  # Ercole Piccolo
  "Ercole Vittorioso"
  "Fama Volante"
  "Fattor del Zante"
  "Fede Guerriera"
  "Fontana d'Oro"
  "Fortuna Guerriera"
  "Fortunato Jacob"
  "Fregata Contarini"
  "Galeone di San Marco"
  "Galeone Grande"
  "Galeone Piccolo"
  "Galeone Pubblico"
  "Galera Balbi"
  "Galera Bembo"
  "Galera Civran"
  "Galera Diedo"
  "Galera Dona"
  "Galera Gritti"
  "Galera Magno"
  "Galera Palma"
  "Galera Paruta"
  "Galera Sagredo"
  "Galera Soranzo"
  "Giglio d'Oro"
  "Giove Fulminante"
  "Gloria Veneta"
  "Gran Delfino"
  "Grande Alessandro"
  "Haute Combe"
  "七兄弟"  # I Sette Fratelli
  "I Tre Re"
  "Illuminazione Celeste"
  "Immacolata Concezione"
  "Isabella Maria"
  "La Donna"
  "Leon Coronato"
  "Leon d'Oro"
  "Leon Incoronato"
  "Leon Negro"
  "Leone di Candia"
  "Leone di Capodistria"
  "Leone e Fenice"
  "Leone Trionfante"
  "Lepre Rossa"
  "Lucien Charles"
  "Madonna degli Angeli"
  "Madonna dei Carmine"
  "Madonna dei Miracoli"
  "Madonna dei Sette Dolori"
  "玫瑰圣母与圣多梅尼科"  # Madonna del Rosario e San Domenico
  "玫瑰圣母"  # Madonna del Rosario
  "军械库圣母"  # Madonna dell'Arsenal
  "感恩圣母"  # Madonna delle Grazie
  "安康圣母"  # Madonna delle Salute
  "葡萄园圣母"  # Madonna delle Vigne
  "洛雷托圣母与圣保罗"  # Madonna di Loreto e San Paolo
  "洛雷托圣母"  # Madonna di Loreto
  "海洋圣母"  # Madonna di Marina
  "马歇尔 多里亚"  # Marchese Doria
  "玛丽亚 特蕾莎"  # Maria Teresa
  "新月"  # Mezza Luna
  "金堆"  # Monton d'Oro
  "圣母"  # Nostra Donna
  "玫瑰圣母"  # Nostra Signora del Rosario
  "Nostra Signora del Soccorso"
  "Nostra Signora delle Vigne"
  "Nostra Signora di Venezia"
  "Nostra Signora di Zanti"
  "Nostra Signora"
  "Nuova Caparra"
  "Pace e Abbondanza"
  "Padre Eterno"
  "Padrone di Davide Imperiale"
  "Piramide con Cane"
  "Principe di Colonia"
  "Principessa Grande"
  "Principessa Piccola"
  "Profeta Elia"
  "Profeta Samuel"
  "Re Attila"
  "Re David"
  "Redentor del Mondo"
  "Regina del Mar"
  "Regina Incoronata"
  "Regina Isabella"
  "Rizzo d'Oro"
  "Rosa Blanca"
  "Rosa Moceniga"
  "Ruota con Serpente"
  "Sacra Lega"
  "Sacrificio d'Abramo"
  "San Alvise"
  "San Andrea"
  "San Antonio Abate"
  "San Antonio di Padova"
  "San Antonio"
  "San Bartolomeo"
  "San Bonaventura"
  "San Brun"
  "San Carlo Borrome"
  "San Carlo"
  "San Cristoforo"
  "San Demetrio"
  "San Domenico"
  "San Ferdinando"
  "San Filippo"
  "San Francesco di Paola"
  "San Gabriele"
  "San Gaetano"
  "San Gennaro"
  "San Giacomo"
  "圣若阿基姆"  # San Gioacchino
  "San Giorgio"
  "San Giovanni Battista"
  "San Giovanni"
  "圣吉罗拉莫"  # San Girolamo
  "圣朱塞佩"  # San Giuseppe
  "San Giulian"
  "San Guiseppe"
  "San Ignazio"
  "San Iseppo"
  "San Jacopo"
  "San Jose"
  "San Leopoldo"
  "圣洛伦佐 朱斯蒂尼亚尼"  # San Lorenzo Giustinian
  "San Luca"
  "San Luigi Gonzaga"
  "San Luigi"
  "San Marco e San Tito"
  "San Marco Grande"
  "San Marco"
  "San Michele Arcangelo"
  "San Michele"
  "San Niccolò"
  "San Paolo"
  "San Pasquale"
  "San Pietro Apostolo"
  "San Pietro di Alcantara"
  "San Pietro"
  "San Pio Quinto"
  "San Sebastiano"
  "San Spiridione"
  "San Teodoro"
  "San Trifone"
  "San Vincenzo Ferrer"
  "San Vittore"
  "San Vittorio"
  "San Zaccaria"
  "Santa Amalia"
  "Santa Anna"
  "Santa Barbara"
  "Santa Caterina"
  "Santa Chiara"
  "Santa Dorotea"
  "Santa Elena"
  "Santa Elisabetta"
  "Santa Francisco"
  "Santa Lucia"
  "Santa Maddalena"
  "Santa Margherita"
  "Santa Maria Torre di Mar"
  "Santa Maria"
  "Santa Michele Arcangelo"
  "Santa Teresa"
  "Santa Virginia"
  "Sant'Alessandro"
  "Sant'Andrea"
  "Sant'Angelo"
  "Sant'Eufemia"
  "Santissima Annunziata"
  "Santissima Concezione"
  "Santissima Trinità"
  "Santissimo Crocefisso"
  "Scala di Giacob"
  "Scudo della Fede"
  "Sibilla Europa"
  "Signora del Belvedere"
  "Sol d'Oro"
  "Stella Maris"
  "Tomaso Francesco"
  "Toro Negro"
  "Tre Mani"
  "Tre Re"
  "Uomo Armato"
  "Uomo di Mare"
  "Valor Coronato"
  "Venezia Trionfante"
  "Vergine Santa"
  "Virgo Potens"
  "Vittorio Emanuele"
  "Achille"
  "Agile"
  "Aguila"
  "Alceste"
  "Aletto"
  "Amalia"
  "Amazzone"
  "Angelo"
  "Aquila"
  "Archimede"
  "Aretusa"
  "Armellino"
  "Aurora"
  "Azzardo"
  "Azzardoso"
  "Baccana"
  "Barzotto"
  "Bastarda"
  "Bechignana"
  "Bellona"
  "Beroldo"
  "Braccio"
  "Brava"
  "Bucintoro"
  "Cacciatore"
  "Capitana"
  "Capri"
  "Caracciolo"
  "Carlo"
  "Felice"
  "Carloforte"
  "Carolana"
  "Cerere"
  "Cigno"
  "Cingana"
  "Colombo"
  "Concezione"
  "Concordia"
  "Confidenzia"
  "Constanza"
  "Corona"
  "Costanza"
  "Cristina"
  "Cristo"
  "Croce"
  "Cupido"
  "Daino"
  "Determinada"
  "Diamante"
  "Diana"
  "Diligenza"
  "Donzella"
  "Doria"
  "Ecate"
  "Elbigina"
  "Enea"
  "Eolo"
  "Ercole"
  "Eridano"
  "Etna"
  "Euridice"
  "Europa"
  "Falco"
  "Falcone"
  "Fama"
  "Fede"
  "Fedeltà"
  "Fenice"
  "Ferme"
  "Fiamma"
  "Fiorenza"
  "Flora"
  "Fortuna"
  "Forza"
  "Fulmine"
  "Fuoco"
  "Furia"
  "Galantuomo"
  "Galatea"
  "Galatea"
  "Generoso"
  "耶路撒冷"  # Gerusalemme
  "Giano"
  "Giasone"
  "乔阿基诺"  # Gioacchino
  "Gioia"
  "Giove"
  "Giuditta"
  "Giustizia"
  "Gloria"
  "Grifona"
  "Gru"
  "Guerriera"
  "Guiditta"
  "Guiscardo"
  "Gusmana"
  "Hardie"
  "Idra"
  "Idra"
  "Intrepido"
  "Invidia"
  "Ira"
  "Iride"
  "Jupiter"
  "Ketianana"
  "Lampreda"
  "Leone"
  "Leonessa"
  "Letiza"
  "Levriero"
  "Libertà"
  "Liguria"
  "Lomellina"
  "Luna"
  "Lupa"
  "Maddalena"
  "Madonna"
  "Marchesa"
  "Margherita"
  "Medea"
  "Medusa"
  "Megera"
  "Mendoza"
  "Mercurio"
  "Minerva"
  "Monagina"
  "Monarca"
  "Mondo"
  "Mongibello"
  "Montagna"
  "Natività"
  "Nave"
  "Negrona"
  "Neireide"
  "Nettuno"
  "Nino"
  "Ocasion"
  "Oliva"
  "Oltremare"
  "Pace"
  "Padrona"
  "Pallade"
  "Palma"
  "Partenope"
  "Passaro"
  "Patrona"
  "Perla"
  "Piemontese"
  "Pilastro"
  "Piramide"
  "Pisana"
  "Polonia"
  "Postiglione"
  "Prima"
  "Pugliese"
  "Pylades"
  "Pynele"
  "Raggia"
  "Regina"
  "Roccafortis"
  "Rodi"
  "Roma"
  "Rondinella"
  "Rosa"
  "鲁杰罗"  # Ruggiero
  "Sagittaria"
  "Samnita"
  "Scala"
  "Seconda"
  "Serena"
  "Sibilla"
  "Sicilia"
  "Signora"
  "Simplon"
  "Sirena"
  "Sole"
  "Sparviero"
  "Speranza"
  "Stabia"
  "Staffetta"
  "Stromboli"
  "Suprema"
  "Tancredi"
  "Taranto"
  "Temperanza"
  "Terana"
  "Tigre"
  "Tirsi"
  "Torre"
  "Toscana"
  "Totusmundus"
  "Trionfo"
  "Tritone"
  "Tronco"
  "Turca"
  "Urania"
  "Valor"
  "Veloce"
  "Vendicatore"
  "Venere"
  "Venetia"
  "Vesuvio"
  "Vigilante"
  "Vigilanza"
  "Vittoria"
  "Volpe"
  "Vulcano"
  "西风"  # Zeffiro
}
army_names = {
  "$PROVINCE$军"  # Armata di $PROVINCE$
}
