graphical_culture = westerngfx
color = {
  75
  130
  135
}
revolutionary_colors = {
  1
  5
  8
}
historical_idea_groups = {
  trade_ideas
  defensive_ideas
  economic_ideas
  maritime_ideas
  offensive_ideas
  innovativeness_ideas
  quality_ideas
  quantity_ideas
}
historical_units = {
  western_medieval_infantry
  western_medieval_knights
  western_men_at_arms
  swiss_landsknechten
  dutch_maurician
  austrian_tercio
  austrian_grenzer
  austrian_hussar
  austrian_white_coat
  austrian_jaeger
  mixed_order_infantry
  open_order_cavalry
  napoleonic_square
  napoleonic_lancers
}
monarch_names = {
  "拉法埃拉 #0" = -1  # Raffaela #0
  "勃兰登堡"  # Brandenburg
  "布伦瑞克"  # Braunschweig
  "不列颠尼亚"  # Britannia
  "公牛"  # Bulle
  "秃鹰"  # Bussard
  "变色龙"  # Camaeleon
  "骑士"  # Cavalier
  "太子"  # Churprinz
  "克莱门蒂娅"  # Clementia
  "克里夫"  # Cleve
  "科隆尼亚"  # Colonia
  "彗星"  # Comet
  "康科迪亚"  # Concordia
  "秃鹰"  # Condor
  "康斯坦齐亚"  # Constantia
  "科尔莫朗"  # Cormoran
  "鳄鱼"  # Crokodil
  "独眼巨人"  # Cyclop
  "女爵"  # Dame
  "但泽"  # Danzig
  "海豚"  # Delphin
  "德弗林格尔"  # Derffinger
  "德意志"  # Deutschland
  "多霍提亚"  # Dorothea
  "巨龙"  # Drache
  "艾希霍恩"  # Eichhorn
  "伊伦特"  # Elent
  "阿尔萨斯"  # Elsaß
  "天使"  # Engel
  "猎鹰"  # Falke
  "火球爆炸"  # Feuerblase
  "忠实"  # Fidelitas
  "勇气"  # Fortitudo
  "幸运"  # Fortuna
  "女性之礼赞"  # Frauenlob
  "芙蕾雅"  # Freya
  "和平"  # Friede
  "弗雷提豪夫"  # Frithjof
  "狐狸"  # Fuchs
  "加布里埃"  # Gabriel
  "瞪羚"  # Gazelle
  "吉菲昂"  # Gefion
  "秃鹫"  # Geier
  "格希勒"  # Grille
  "格罗斯腓特烈伯格"  # Grossfriedrichburg
  "格陵兰旅航"  # Grönlandfahrer
  "苍鹰"  # Habicht
  "哈根"  # Hagen
  "汉诺威"  # Hannover
  "汉萨"  # Hansa
  "海"  # Hay
  "海姆达尔"  # Heimdall
  "海拉"  # Hela
  "黑尔戈兰"  # Helgoland
  "赫塔"  # Hertha
  "黑森"  # Hessen
  "希尔德布兰特"  # Hildebrand
  "希望"  # Hoffning
  "鬣狗"  # Hyäne
  "无辜"  # Innocentia
  "嫉妒"  # Invidia
  "艾琳"  # Irene
  "岛民"  # Isländer
  "约翰内斯堡"  # Johannesburg
  "朱庇特"  # Jupiter
  "猎人"  # Jäger
  "凯撒"  # Kaiser
  "凯撒琳"  # Kaiserin
  "王储"  # Kronprinz
  "选帝候"  # Kurprinz
  "猎豹"  # Leopard
  "善变"  # Levitas
  "洛林根"  # Lothringen
  "光明"  # Lux
  "马卡雷勒"  # Makarele
  "玛丽亚"  # Maria
  "马尔斯"  # Mars
  "梅克伦堡"  # Mecklenburg
  "雄人鱼"  # Meermann
  "美人鱼"  # Meerweib
  "墨丘利"  # Mercurius
  "水星"  # Merkur
  "流星"  # Meteor
  "米夫"  # Meve
  "莫尔"  # Mohr
  "莫希安"  # Mohrian
  "莫里安"  # Morian
  "蒙梅波特"  # Mummelpot
  "马斯基托"  # Musquito
  "拿骚"  # Nassau
  "毒蛇"  # Natter
  "涅普顿"  # Neptun
  "涅普顿"  # Neptunus
  "尼俄伯"  # Niobe
  "奥丁"  # Odin
  "奥尔登堡"  # Oldenburg
  "俄耳甫斯"  # Orpheus
  "帕拉斯"  # Pallas
  "节俭"  # Parsimonia
  "耐心"  # Patienta
  "盛世"  # Pax
  "箭头"  # Pfeil
  "皮埃里庞姆"  # Pierelepomp
  "虔诚"  # Pietas
  "波美拉尼亚"  # Pommern
  "波森"  # Posen
  "波斯特"  # Post
  "波茨坦"  # Potsdam
  "普鲁士"  # Preußen
  "普洛塞庇娜"  # Prosperpina
  "谨慎"  # Prudentia
  "莱茵兰"  # Rheinland
  "斑尾林鸽"  # Ringeltaube
  "罗兰"  # Roland
  "摩擦鼓"  # Rommelpot
  "鲁恩"  # Roon
  "罗森菲尔德"  # Rosenfelde
  "流浪者"  # Rover
  "萨克森"  # Sachsen
  "蝾螈"  # Salamander
  "施瓦尔贝"  # Schwalbe
  "施旺"  # Schwann
  "科学"  # Scientia
  "海鹰"  # Seeadler
  "海鸥"  # Seemoewe
  "海上骑士"  # Seeritter
  "齐格弗里德"  # Siegfried
  "施潘道"  # Spandau
  "雀鹰"  # Sperber
  "施特拉尔松德"  # Stralsund
  "苏里希"  # Syrig
  "节制"  # Temperantia
  "忒提斯"  # Thetis
  "老虎"  # Tiger
  "温蒂妮"  # Undine
  "维奈塔"  # Vineta
  "鲸鱼"  # Walfisch
  "水猎犬"  # Wasserhund
  "魏森堡"  # Weissenburg
  "黄蜂"  # Wespe
  "威斯特法伦"  # Westfalen
  "维丁"  # Wettin
  "灰猎犬"  # Windhund
  "维特尔斯巴赫"  # Wittelsbach
  "显圣之云柱"  # Wolkensäule
  "符腾堡"  # Württemberg
  "沃尔特"  # Wörth
  "扎林根"  # Zähringen
  "埃吉尔"  # Ägir
}
army_names = {
  "帝国军队"  # Kaiserliche Armee
  "$PROVINCE$军"  # Armee von $PROVINCE$
}
fleet_names = {
  "帝国舰队"  # Kaiserliche Flotte
}
