graphical_culture = asiangfx
color = {
    47
    155
    224
}
historical_idea_groups = {
    offensive_ideas
    defensive_ideas
    naval_ideas
    trade_ideas
    quality_ideas
    spy_ideas
    diplomatic_ideas
    administrative_ideas
}
historical_units = {
    japanese_archer
    eastern_bow
    japanese_footsoldier
    japanese_samurai
    asian_arquebusier
    asian_charge_cavalry
    asian_mass_infantry
    asian_musketeer
    reformed_asian_musketeer
    reformed_asian_cavalry
}
monarch_names = {
    "Mitsunori #0" = 50
    "Yoshiharu #0" = 50
    "Yoshiari #0" = 20
    "Yoshisada #0" = 20
    "Mochinao #0" = 20
    "Naokane #0" = -5
    "Ujihisa #0" = -5
    "Naoyori #0" = 20
    "Norikatsu #0" = 50
    "Fujinaga #0" = 20
    "Norimitsu #0" = 30
    "Sen #0" = -5
    "Aya #0" = -5
    "Akinori #0" = 50
    "Yoshihide #0" = 50
    "Yoshikiyo #0" = 20
    "Naotomo #0" = -5
    "Michinao #0" = 20
}
leader_names = {
    "Akamatsu"  # Akamatsu
    "Issiki"  # Issiki
    "Issiki"  # Issiki
    "Issiki"  # Issiki
    "Issiki"  # Issiki
    "Issiki"  # Issiki
    "Issiki"  # Issiki
    "Issiki"  # Issiki
    "Issiki"  # Issiki
    "Akiyama"  # Akiyama
    "Akiyama"  # Akiyama
    "Akiyama"  # Akiyama
    "Akiyama"  # Akiyama
    "Akiyama"  # Akiyama
    "Mikata"  # Mikata
    "Mikata"  # Mikata
    "Mikata"  # Mikata
    "Mikata"  # Mikata
    "Mikata"  # Mikata
    "Ogasawara"  # Ogasawara
    "Ogasawara"  # Ogasawara
    "Ogasawara"  # Ogasawara
    "Ogasawara"  # Ogasawara
    "Ogasawara"  # Ogasawara
    "Inatomi"  # Inatomi
    "Inatomi"  # Inatomi
    "Inatomi"  # Inatomi
    "Inatomi"  # Inatomi
    "Inatomi"  # Inatomi
    "Uragami"  # Uragami
    "Matsuda"  # Matsuda
    "Ukita"  # Ukita
    "Togawa"  # Togawa
    "Hanabusa"  # Hanabusa
    "Akashi"  # Akashi
    "Hosokawa"  # Hosokawa
    "Sho"  # Sho
    "Mimura"  # Mimura
    "Ishikawa"  # Ishikawa
    "Akiba"  # Akiba
    "Shimizu"  # Shimizu
    "Senoo"  # Senoo
    "Miura"  # Miura
    "Yamana"  # Yamana
    "Nanjo"  # Nanjo
    "Takeda"  # Takeda
    "Amago"  # Amago
    "Mitoya"  # Mitoya
    "Akana"  # Akana
    "Tachihara"  # Tachihara
    "Uyama"  # Uyama
    "Shido"  # Shido
    "Yamanaka"  # Yamanaka
    "Kamei"  # Kamei
    "Masuda"  # Masuda
    "Yoshimi"  # Yoshimi
    "Yamauchi"  # Yamauchi
    "Mori"  # Mori
    "Kikkawa"  # Kikkawa
    "Kobayakawa"  # Kobayakawa
    "Murakami"  # Murakami
    "Kumagai"  # Kumagai
    "Saeki"  # Saeki
    "Fukuhara"  # Fukuhara
    "Kodaga"  # Kodaga
    "Katsura"  # Katsura
    "Shishido"  # Shishido
    "Inoue"  # Inoue
    "Ouchi"  # Ouchi
    "Sue"  # Sue
    "Sugi"  # Sugi
    "Naito"  # Naito
}
ship_names = {
    "Mutsu Maru"  # Mutsu Maru
    "Dewa Maru"  # Dewa Maru
    "Shimotsuke Maru"  # Shimotsuke Maru
    "Hitachi Maru"  # Hitachi Maru
    "Kazusa Maru"  # Kazusa Maru
    "Shimousa Maru"  # Shimousa Maru
    "Awa Maru"  # Awa Maru
    "Musashi Maru"  # Musashi Maru
    "Kozuke Maru"  # Kozuke Maru
    "Izu Maru"  # Izu Maru
    "Echigo Maru"  # Echigo Maru
    "Ettchu Maru"  # Ettchu Maru
    "Kaga Maru"  # Kaga Maru
    "Noto Maru"  # Noto Maru
    "Suruga Maru"  # Suruga Maru
    "Totomi Maru"  # Totomi Maru
    "Joshu Maru"  # Joshu Maru
    "Enshu Maru"  # Enshu Maru
    "Bushu Maru"  # Bushu Maru
    "Esshu Maru"  # Esshu Maru
    "Mikawa Maru"  # Mikawa Maru
    "Ushu Maru"  # Ushu Maru
    "Soushu Maru"  # Soushu Maru
    "Boushu Maru"  # Boushu Maru
    "Kai Maru"  # Kai Maru
    "Shinshu Maru"  # Shinshu Maru
    "Koshu Maru"  # Koshu Maru
    "Owari Maru"  # Owari Maru
    "Bishu Maru"  # Bishu Maru
    "Mino Maru"  # Mino Maru
    "Echizen Maru"  # Echizen Maru
    "Ise Maru"  # Ise Maru
    "Shima Maru"  # Shima Maru
    "Omi Maru"  # Omi Maru
    "Goushu Maru"  # Goushu Maru
    "Yamashiro Maru"  # Yamashiro Maru
    "Wakasa Maru"  # Wakasa Maru
    "Tanba Maru"  # Tanba Maru
    "Tango Maru"  # Tango Maru
    "Yamato Maru"  # Yamato Maru
    "Kii Maru"  # Kii Maru
    "Kishu Maru"  # Kishu Maru
    "Iga Maru"  # Iga Maru
    "Awa Maru"  # Awa Maru
    "Sanuki Maru"  # Sanuki Maru
    "Tosa Maru"  # Tosa Maru
    "Iyo Maru"  # Iyo Maru
    "Harima Maru"  # Harima Maru
    "Banshu Maru"  # Banshu Maru
    "Hoki Maru"  # Hoki Maru
    "Inaba Maru"  # Inaba Maru
    "Bizen Maru"  # Bizen Maru
    "Mimasaka Maru"  # Mimasaka Maru
    "Binshu Maru"  # Binshu Maru
    "Bingo Maru"  # Bingo Maru
    "Bittchu Maru"  # Bittchu Maru
    "Aki Maru"  # Aki Maru
    "Izumo Maru"  # Izumo Maru
    "Iwami Maru"  # Iwami Maru
    "Suou Maru"  # Suou Maru
    "Nagato Maru"  # Nagato Maru
    "Bungo Maru"  # Bungo Maru
    "Buzen Maru"  # Buzen Maru
    "Chikuzen Maru"  # Chikuzen Maru
    "Chikugo Maru"  # Chikugo Maru
    "Hizen Maru"  # Hizen Maru
    "Higo Maru"  # Higo Maru
    "Chikushu Maru"  # Chikushu Maru
    "Hyuga Maru"  # Hyuga Maru
    "Osumi Maru"  # Osumi Maru
    "Satsuma Maru"  # Satsuma Maru
    "Sasshu Maru"  # Sasshu Maru
}
army_names = {
    "Isshiki Gun"  # Isshiki Gun
    "$PROVINCE$ Gun"  # $PROVINCE$ Gun
    "$PROVINCE$ Zei"  # $PROVINCE$ Zei
    "$PROVINCE$ Dan"  # $PROVINCE$ Dan
}
fleet_names = {
    "Isshiki Suigun"  # Isshiki Suigun
    "$PROVINCE$ Suigun"  # $PROVINCE$ Suigun
    "$PROVINCE$ Sendan"  # $PROVINCE$ Sendan
    "$PROVINCE$ Tai"  # $PROVINCE$ Tai
}
