graphical_culture = westerngfx
colonial_parent = SPA
random_nation_chance = 0
color = {
  173
  22
  27
}
historical_idea_groups = {
  defensive_ideas
  religious_ideas
  offensive_ideas
  trade_ideas
  spy_ideas
  diplomatic_ideas
  administrative_ideas
  economic_ideas
}
historical_units = {
  western_medieval_infantry
  chevauchee
  western_longbow
  gaelic_mercenary
  gaelic_free_shooter
  french_caracolle
  irish_charge
  anglofrench_line
  french_dragoon
  british_redcoat
  british_hussar
  british_square
  mixed_order_infantry
  open_order_cavalry
  napoleonic_square
  napoleonic_lancers
}
monarch_names = {
  "塔普利 #0" = 0  # Tapley #0
  "加尔文"  # Garvin
  "加斯顿"  # Gaston
  "吉布森"  # Gibson
  "古德里奇"  # Goodrich
  "格雷"  # Gray
  "格林"  # Green
  "格兰姆斯"  # Grimes
  "古雷亚"  # Gurrea
  "格雷罗"  # Guerrero
  "格温"  # Gwin
  "哈里斯"  # Harris
  "哈里森"  # Harrison
  "霍金斯"  # Hawkins
  "海斯"  # Hays
  "海斯克尔"  # Heiskell
  "赫恩登"  # Herndon
  "埃雷拉"  # Herrera
  "赫塞"  # Hersee
  "海史密斯"  # Highsmith
  "霍兰"  # Holland
  "霍洛韦"  # Holloway
  "豪厄尔"  # Howell
  "亨特"  # Hunter
  "哈钦森"  # Hutchinson
  "欧文"  # Irwin
  "杰克逊"  # Jackson
  "詹姆森"  # Jameson
  "詹宁斯"  # Jennings
  "希门尼斯"  # Jiménez
  "约翰逊"  # Johnson
  "琼斯"  # Jones
  "肯尼"  # Kenny
  "肯特"  # Kent
  "克尔"  # Kerr
  "金布尔"  # Kimble
  "金"  # Kin
  "金"  # King
  "刘易斯"  # Lewis
  "莱特富特"  # Lightfoot
  "林德利"  # Lindley
  "林"  # Linn
  "洛克哈特"  # Lockhart
  "洛索亚"  # Losoya
  "梅因"  # Main
  "马隆"  # Malone
  "马歇尔"  # Marshall
  "马丁"  # Martin
  "马弗里克"  # Maverick
  "麦卡弗蒂"  # McCafferty
  "麦克莱兰"  # McClelland
  "麦科伊"  # McCoy
  "麦克道尔"  # McDowell
  "麦吉"  # McGee
  "麦格雷戈"  # McGregor
  "麦金尼"  # McKinney
  "麦克内利"  # McNeilly
  "梅尔顿"  # Melton
  "门查卡"  # Menchaca
  "米勒"  # Miller
  "米尔斯"  # Mills
  "米尔萨普斯"  # Millsaps
  "米查逊"  # Mitchasson
  "米切尔"  # Mitchell
  "穆尔"  # Moore
  "莫尔曼"  # Morman
  "莫里森"  # Morrison
  "马塞尔曼"  # Musselman
  "摩根"  # Morgan
  "Nash"
  "纳瓦"  # Nava
  "Navan"
  "Neggan"
  "纳尔逊"  # Nelson
  "Nobles"
  "Northcross"
  "Nowlan"
  "奥尼尔"  # O'Neill
  "Olamio"
  "Oury"
  "帕切科"  # Pacheco
  "帕甘"  # Pagan
  "帕克"  # Parker
  "帕克斯"  # Parks
  "Patton"
  "佩里"  # Perry
  "Petrasweiz"
  "Pollard"
  "拉米雷兹"  # Ramirez
  "雷诺兹"  # Reynolds
  "Robertys"
  "罗伯特松"  # Robertson
  "罗德里格斯"  # Rodriguez
  "罗斯"  # Rose
  "罗特"  # Roth
  "Rusk"
  "卢瑟福"  # Rutherford
  "赖安"  # Ryan
  "罗森"  # Rawson
  "桑德斯"  # Sanders
  "Scurlock"
  "Seguín"
  "休厄尔"  # Sewell
  "Shied"
  "西蒙斯"  # Simmons
  "史密斯"  # Smith
  "Sowell"
  "Spratt"
  "Starr"
  "Stewart"
  "Stockton"
  "Summerlin"
  "Summers"
  "Sutherland"
  "泰勒"  # Taylor
  "托马斯"  # Thomas
  "汤普森"  # Thompson
  "Thurston"
  "Trammel"
  "Travis"
  "Tumlinson"
  "Tylee"
  "Walker"
  "瓦德"  # Ward
  "Warnell"
  "Waters"
  "Wells"
  "White"
  "Williamson"
  "Wills"
  "Wilson"
  "Wolf"
  "Wright"
  "华盛顿"  # Washington
  "Zanco"
  "Zepeda"
}
ship_names = {
  "Austin"
  "Archer"
  "Asp"
  "Apalacheola"
  "阿普尔顿"  # Appleton
  "安德森"  # Anderson
  "Aransas"
  "Brazos"
  "Brashear"
  "Beaumont"
  "Bryant"
  "Black Horse"
  "查尔斯顿"  # Charleston
  "科罗拉多"  # Colorado
  "夏洛特"  # Charlotte
  "Cruz de Honor"
  "Clark"
  "Crisp"
  "科克伦"  # Cochrane
  "Doloritas"
  "Dos Amigos"
  "雄鹰"  # Eagle
  "菲利克斯"  # Felix
  "Galveston"
  "Glide"
  "Gray"
  "Gibbons"
  "Goliad"
  "Glenn"
  "Goodall"
  "戈登"  # Gordon
  "Greenhorn"
  "Hornet"
  "Hinton"
  "Hondo"
  "Haveslin"
  "Horseback"
  "Independencia"
  "Iron Jacket"
  "Justice"
  "肯尼迪"  # Kennedy
  "基奥瓦"  # Kiowa
  "路易斯维尔"  # Louisville
  "自由"  # Liberty
  "Lone Star"
  "Lothrop"
  "Longhorn"
  "Moore"
  "摩根"  # Morgan
  "Nueces"
  "Navasota"
  "Neches"
  "Nocona"
  "奥利弗"  # Oliver
  "O'Shaunessy"
  "Progreso"
  "Postell"
  "佩科斯"  # Pecos
  "孔雀"  # Peacock
  "波平杰"  # Popinjay
  "Pedernales"
  "Quanah"
  "Regenerador"
  "Rosa Alvina"
  "Rio Grande"
  "游侠"  # Ranger
  "Sisaleno"
  "San Jacinto"
  "圣安东尼奥"  # San Antonio
  "San Bernard"
  "天蝎"  # Scorpion
  "Striped Pig"
  "Seegar"
  "Snow"
  "Silvero"
  "蝰蛇"  # Viper
  "华盛顿"  # Washington
  "Wharton"
  "Wheelwright"
  "Williamson"
  "Wilbur"
  "Yucateco"
  "扎瓦拉"  # Zavala
}
