graphical_culture = asiangfx
color = {
    56
    180
    139
}
historical_idea_groups = {
    offensive_ideas
    defensive_ideas
    maritime_ideas
    trade_ideas
    quality_ideas
    spy_ideas
    diplomatic_ideas
    administrative_ideas
}
historical_units = {
    japanese_archer
    eastern_bow
    japanese_footsoldier
    japanese_samurai
    asian_arquebusier
    asian_charge_cavalry
    asian_mass_infantry
    asian_musketeer
    reformed_asian_musketeer
    reformed_asian_cavalry
}
monarch_names = {
    "Takakage #0" = 50
    "Ujikage #0" = 50
    "Iekage #0" = 10
    "Tsunekage #0" = 10
    "Kageakira #0" = 10
    "Kagatsune #0" = -5
    "Kagemoto #0" = 50
    "Kageyoshi #0" = 10
    "Kageyori #0" = -5
    "Kageyasu #0" = 10
    "Toku #0" = -5
    "Tama #0" = -5
    "Ina #0" = -5
    "Sadakage #0" = 50
    "Yoshikage #0" = 10
    "Kaganori #0" = 10
    "Kagetoyo #0" = 10
}
leader_names = {
    "Akamatsu"  # Akamatsu
    "Asakura"  # Asakura
    "Asakura"  # Asakura
    "Asakura"  # Asakura
    "Asakura"  # Asakura
    "Asakura"  # Asakura
    "Asakura"  # Asakura
    "Asakura"  # Asakura
    "Uozumi"  # Uozumi
    "Uozumi"  # Uozumi
    "Uozumi"  # Uozumi
    "Uozumi"  # Uozumi
    "Uozumi"  # Uozumi
    "Horie"  # Horie
    "Horie"  # Horie
    "Horie"  # Horie
    "Horie"  # Horie
    "Horie"  # Horie
    "Yamazaki"  # Yamazaki
    "Yamazaki"  # Yamazaki
    "Yamazaki"  # Yamazaki
    "Yamazaki"  # Yamazaki
    "Yamazaki"  # Yamazaki
    "Magara"  # Magara
    "Magara"  # Magara
    "Magara"  # Magara
    "Magara"  # Magara
    "Magara"  # Magara
    "Kawai"  # Kawai
    "Kawai"  # Kawai
    "Kawai"  # Kawai
    "Kawai"  # Kawai
    "Kawai"  # Kawai
    "Maeba"  # Maeba
    "Maeba"  # Maeba
    "Maeba"  # Maeba
    "Maeba"  # Maeba
    "Maeba"  # Maeba
    "Ogasawara"  # Ogasawara
    "Suwa"  # Suwa
    "Takato"  # Takato
    "Murakami"  # Murakami
    "Takanashi"  # Takanashi
    "Suda"  # Suda
    "Unno"  # Unno
    "Mochizuki"  # Mochizuki
    "Sanada"  # Sanada
    "Oi"  # Oi
    "Yashiro"  # Yashiro
    "Hoshina"  # Hoshina
    "Nishina"  # Nishina
    "Kiso"  # Kiso
    "Baba"  # Baba
    "Takeda"  # Takeda
    "Anayama"  # Anayama
    "Oyamada"  # Oyamada
    "Akiyama"  # Akiyama
    "Tsuchiya"  # Tsuchiya
    "Amari"  # Amari
    "Itagaki"  # Itagaki
    "Naito"  # Naito
    "Kosaka"  # Kosaka
    "Obu"  # Obu
    "Yamagata"  # Yamagata
    "Hara"  # Hara
    "Yamamoto"  # Yamamoto
    "Nagao"  # Nagao
    "Nakajo"  # Nakajo
    "Irobe"  # Irobe
    "Honjo"  # Honjo
    "Kaji"  # Kaji
    "Shibata"  # Shibata
    "Kakizaki"  # Kakizaki
    "Kitajo"  # Kitajo
    "Yasuda"  # Yasuda
    "Jojo"  # Jojo
    "Usami"  # Usami
    "Shida"  # Shida
    "Saito"  # Saito
    "Oguni"  # Oguni
    "Amakasu"  # Amakasu
    "Naoe"  # Naoe
    "Honma"  # Honma
    "Togashi"  # Togashi
    "Cho"  # Cho
    "Shiina"  # Shiina
    "Jinbo"  # Jinbo
    "Nukui"  # Nukui
    "Ishiguro"  # Ishiguro
    "Asakura"  # Asakura
    "Horie"  # Horie
    "Awaya"  # Awaya
    "Otani"  # Otani
}
ship_names = {
    "Mutsu Maru"  # Mutsu Maru
    "Dewa Maru"  # Dewa Maru
    "Shimotsuke Maru"  # Shimotsuke Maru
    "Hitachi Maru"  # Hitachi Maru
    "Kazusa Maru"  # Kazusa Maru
    "Shimousa Maru"  # Shimousa Maru
    "Awa Maru"  # Awa Maru
    "Musashi Maru"  # Musashi Maru
    "Kozuke Maru"  # Kozuke Maru
    "Izu Maru"  # Izu Maru
    "Echigo Maru"  # Echigo Maru
    "Ettchu Maru"  # Ettchu Maru
    "Kaga Maru"  # Kaga Maru
    "Noto Maru"  # Noto Maru
    "Suruga Maru"  # Suruga Maru
    "Totomi Maru"  # Totomi Maru
    "Joshu Maru"  # Joshu Maru
    "Enshu Maru"  # Enshu Maru
    "Bushu Maru"  # Bushu Maru
    "Esshu Maru"  # Esshu Maru
    "Mikawa Maru"  # Mikawa Maru
    "Ushu Maru"  # Ushu Maru
    "Soushu Maru"  # Soushu Maru
    "Boushu Maru"  # Boushu Maru
    "Kai Maru"  # Kai Maru
    "Shinshu Maru"  # Shinshu Maru
    "Koshu Maru"  # Koshu Maru
    "Owari Maru"  # Owari Maru
    "Bishu Maru"  # Bishu Maru
    "Mino Maru"  # Mino Maru
    "Echizen Maru"  # Echizen Maru
    "Ise Maru"  # Ise Maru
    "Shima Maru"  # Shima Maru
    "Omi Maru"  # Omi Maru
    "Goushu Maru"  # Goushu Maru
    "Yamashiro Maru"  # Yamashiro Maru
    "Wakasa Maru"  # Wakasa Maru
    "Tanba Maru"  # Tanba Maru
    "Tango Maru"  # Tango Maru
    "Yamato Maru"  # Yamato Maru
    "Kii Maru"  # Kii Maru
    "Kishu Maru"  # Kishu Maru
    "Iga Maru"  # Iga Maru
    "Sanuki Maru"  # Sanuki Maru
    "Tosa Maru"  # Tosa Maru
    "Iyo Maru"  # Iyo Maru
    "Harima Maru"  # Harima Maru
    "Banshu Maru"  # Banshu Maru
    "Hoki Maru"  # Hoki Maru
    "Inaba Maru"  # Inaba Maru
    "Bizen Maru"  # Bizen Maru
    "Mimasaka Maru"  # Mimasaka Maru
    "Binshu Maru"  # Binshu Maru
    "Bingo Maru"  # Bingo Maru
    "Bittchu Maru"  # Bittchu Maru
    "Aki Maru"  # Aki Maru
    "Izumo Maru"  # Izumo Maru
    "Iwami Maru"  # Iwami Maru
    "Suou Maru"  # Suou Maru
    "Nagato Maru"  # Nagato Maru
    "Bungo Maru"  # Bungo Maru
    "Buzen Maru"  # Buzen Maru
    "Chikuzen Maru"  # Chikuzen Maru
    "Chikugo Maru"  # Chikugo Maru
    "Hizen Maru"  # Hizen Maru
    "Higo Maru"  # Higo Maru
    "Chikushu Maru"  # Chikushu Maru
    "Hyuga Maru"  # Hyuga Maru
    "Osumi Maru"  # Osumi Maru
    "Satsuma Maru"  # Satsuma Maru
    "Sasshu Maru"  # Sasshu Maru
}
army_names = {
    "Asakura Gun"  # Asakura Gun
    "$PROVINCE$ Gun"  # $PROVINCE$ Gun
    "$PROVINCE$ Zei"  # $PROVINCE$ Zei
    "$PROVINCE$ Dan"  # $PROVINCE$ Dan
}
fleet_names = {
    "Asakura Suigun"  # Asakura Suigun
    "$PROVINCE$ Suigun"  # $PROVINCE$ Suigun
    "$PROVINCE$ Sendan"  # $PROVINCE$ Sendan
    "$PROVINCE$ Tai"  # $PROVINCE$ Tai
}
